SKU,Description,Fixed MSRP,Component1,Component Description,Componenet FOB,Component MSRP ,Component2,Component Description,Componenet FOB,Component MSRP 
SB-W301824,"Shaker Sage Breeze - Wall Refrigerator Cabinet - 30""W x 18""H x 24""D - 2D",402,SB-DS-W3018/W301824,Door Set SB-W3018/W301824,22.31127756,186,UBX-W301824,Cabinet Box for W301824,26.12086437,216
SB-W3018GD,"Shaker Sage Breeze - Wall Cabinet - 30""W x 18""H x 12""D - 2D ",354,SB-DS-W3018GD,Door Set SB-W3018GD,22.89516321,218,UBX-W3018,Cabinet Box for W3018,16.10888876,136
SB-W3024,"Shaker Sage Breeze - Wall Cabinet - 30""W x 24""H x 12""D - 2D - 1S",388,SB-DS-W3024/W302424,Door Set SB-W3024/W302424,26.94837875,213,UBX-W3024,Cabinet Box for W3024,22.12600223,175
SB-W302424,"Shaker Sage Breeze - Wall Refrigerator Cabinet - 30""W x 24""H x 24""D - 2D -1S",485,SB-DS-W3024/W302424,Door Set SB-W3024/W302424,26.94837875,213,UBX-W302424,Cabinet Box for W302424,36.1134048,272
SB-W3030,"Shaker Sage Breeze - Wall Cabinet - 30""W x 30""H x 12""D - 2D -2S",476,SB-DS-BFH30/W3030,Door Set SB-BFH30/W3030,31.55517208,251,UBX-W3030,Cabinet Box for W3030,28.12482655,225
SB-W3030GD,"Shaker Sage Breeze - Wall Glass Door Cabinet - 30""W x 30""H x 12""D -2D-2S",525,SB-DS-W3030GD,Door Set SB-W3030GD,32.72874357,300,UBX-W3030,Cabinet Box for W3030,28.12482655,225
SB-W3036,"Shaker Sage Breeze - Wall Cabinet - 30""W x 36""H x 12""D - 2D -2S",545,SB-DS-W3036,Door Set SB-W3036,36.16196542,293,UBX-W3036,Cabinet Box for W3036,30.90477914,252
SB-W3036GD,"Shaker Sage Breeze - Wall Glass Door Cabinet - 30""W x 36""H x 12""D -2D- 2S",613,SB-DS-W3036GD,Door Set SB-W3036GD,37.62941313,361,UBX-W3036,Cabinet Box for W3036,30.90477914,252
SB-W3042,"Shaker Sage Breeze - Wall Cabinet - 30""W x 42""H x 12""D - 2D -3S",632,SB-DS-W3042,Door Set SB-W3042,42.64705617,337,UBX-W3042,Cabinet Box for W3042,37.09824097,295
SB-W3042GD,"Shaker Sage Breeze - Wall Glass Door Cabinet - 30""W x 42""H x 12""D -2D- 2S",700,SB-DS-W3042GD,Door Set SB-W3042GD,44.4103135,405,UBX-W3042,Cabinet Box for W3042,37.09824097,295
SB-W3312,"Shaker Sage Breeze - Wall Cabinet - 33""W x 12""H x 12""D - 2D",274,SB-DS-W3312/W331224,Door Set SB-W3312/W331224,18.84757346,156,UBX-W3312,Cabinet Box for W3312,14.23772342,118
SB-W331224,"Shaker Sage Breeze - Wall Refrigerator Cabinet-33""W x 12""H x 24""D - 2D",351,SB-DS-W3312/W331224,Door Set SB-W3312/W331224,18.84757346,156,UBX-W331224,Cabinet Box for W331224,24.46458174,195
SB-W3312GD,"Shaker Sage Breeze - Wall Glass Door Cabinet - 33""W x 12""H x 12""D - 2D",299,SB-DS-W3312GD,Door Set SB-W3312GD,19.18256394,181,UBX-W3312,Cabinet Box for W3312,14.23772342,118
SB-W3315,"Shaker Sage Breeze - Wall Cabinet - 33""W x 15""H x 12""D - 2D",302,SB-DS-W3315/W331524,Door Set SB-W3315/W331524,21.29426627,173,UBX-W3315,Cabinet Box for W3315,15.71536016,129
SB-W331524,"Shaker Sage Breeze - Wall Refrigerator Cabinet - 33""W x 15""H x 24""D -2D",380,SB-DS-W3315/W331524,Door Set SB-W3315/W331524,21.29426627,173,UBX-W331524,Cabinet Box for W331524,26.15086236,207
SB-W3318,"Shaker Sage Breeze - Wall Cabinet - 33""W x 18""H x 12""D - 2D",332,SB-DS-W3318/W331824,Door Set SB-W3318/W331824,23.74095909,192,UBX-W3318,Cabinet Box for W3318,17.19299689,140
SB-W331824,"Shaker Sage Breeze - Wall Refrigerator Cabinet - 33""W x 18""H x 24""D -2D",414,SB-DS-W3318/W331824,Door Set SB-W3318/W331824,23.74095909,192,UBX-W331824,Cabinet Box for W331824,27.83714297,222
SB-W3324,"Shaker Sage Breeze - Wall Cabinet - 33""W x 24""H x 12""D - 2D - 1S",396,SB-DS-W3324/W332424,Door Set SB-W3324/W332424,28.66653804,216,UBX-W3324,Cabinet Box for W3324,23.70702301,180
SB-W332424,"Shaker Sage Breeze - Wall Refrigerator Cabinet -33""W x 24""H x 24""D-2D -1S",525,SB-DS-W3324/W332424,Door Set SB-W3324/W332424,28.66653804,216,UBX-W332424,Cabinet Box for W332424,38.6352674,309
SB-W3330,"Shaker Sage Breeze - Wall Cabinet - 33""W x 30""H x 12""D - 2D -2S",501,SB-DS-BFH33/W3330,Door Set SB-BFH33/W3330,33.55992367,263,UBX-W3330,Cabinet Box for W3330,30.20160654,238
SB-W3336,"Shaker Sage Breeze - Wall Cabinet - 33""W x 36""H x 12""D - 2D -2S",591,SB-DS-W3336,Door Set SB-W3336,38.4533093,317,UBX-W3336,Cabinet Box for W3336,33.15688001,274
SB-W3342,"Shaker Sage Breeze - Wall Cabinet - 33""W x 42""H x 12""D - 2D -3S",674,SB-DS-W3342,Door Set SB-W3342,45.22687782,358,UBX-W3342,Cabinet Box for W3342,39.84725447,316
SB-W3612,"Shaker Sage Breeze - Wall Cabinet - 36""W x 12""H x 12""D - 2D",290,SB-DS-W3612/W361224,Door Set SB-W3612/W361224,19.99066269,164,UBX-W3612,Cabinet Box for W3612,15.14651068,126
SB-W361224,"Shaker Sage Breeze - Wall Cabinet - 36""W x 12""H x 24""D - 2D",368,SB-DS-W3612/W361224,Door Set SB-W3612/W361224,19.99066269,164,UBX-W361224,Cabinet Box for W361224,26.06540512,204
SB-W3612GD,"Shaker Sage Breeze - Wall Glass Door Cabinet - 36""W x 12""H x 12""D - 2D",317,SB-DS-W3612GD,Door Set SB-W3612GD,20.37063423,191,UBX-W3612,Cabinet Box for W3612,15.14651068,126
SB-W3615,"Shaker Sage Breeze - Wall Cabinet - 36""W x 15""H x 12""D - 2D",312,SB-DS-W3615/W361524,Door Set SB-W3615/W361524,22.58065166,179,UBX-W3615,Cabinet Box for W3615,16.71180785,133
SB-W361524,"Shaker Sage Breeze - Wall Refrigerator Cabinet - 36""W x 15""H x 24""D - 2D",393,SB-DS-W3615/W361524,Door Set SB-W3615/W361524,22.58065166,179,UBX-W361524,Cabinet Box for W361524,27.80941334,214
SB-W3618,"Shaker Sage Breeze - Wall Cabinet - 36""W x 18""H x 12""D - 2D",349,SB-DS-W3618/W361824,Door Set SB-W3618/W361824,25.17064062,202,UBX-W3618,Cabinet Box for W3618,18.27710502,147
SB-W361824,"Shaker Sage Breeze - Wall Refrigerator Cabinet - 36""W x 18""H x 24""D - 2D",428,SB-DS-W3618/W361824,Door Set SB-W3618/W361824,25.17064062,202,UBX-W361824,Cabinet Box for W361824,29.55342157,226
SB-W3624,"Shaker Sage Breeze - Wall Cabinet - 36""W x 24""H x 12""D - 2D - 1S",455,SB-DS-W3624/W362424,Door Set SB-W3624/W362424,30.38469734,248,UBX-W3624,Cabinet Box for W3624,25.28804378,207
SB-W362424,"Shaker Sage Breeze - Wall Refrigerator Cabinet - 36""W x 24""H x 24""D - 2D -1S",560,SB-DS-W3624/W362424,Door Set SB-W3624/W362424,30.38469734,248,UBX-W362424,Cabinet Box for W362424,41.15712999,312
SB-W3630,"Shaker Sage Breeze - Wall Cabinet - 36""W x 30""H x 12""D - 2D -2S",546,SB-DS-BFH36/W3630,Door Set SB-BFH36/W3630,35.56467526,286,UBX-W3630/WBC3630,Cabinet Box for W3630/WBC3630,32.27838653,260
SB-W3636,"Shaker Sage Breeze - Wall Cabinet - 36""W x 36""H x 12""D - 2D -2S",631,SB-DS-W3636,Door Set SB-W3636,40.74465319,337,UBX-W3636,Cabinet Box for W3636,35.40898087,294
SB-W3642,"Shaker Sage Breeze - Wall Cabinet - 36""W x 42""H x 12""D - 2D -3S",722,SB-DS-W3642,Door Set SB-W3642,47.80669948,381,UBX-W3642/WBC3642,Cabinet Box for W3642/WBC3642,42.59626798,341
SB-W3930,"Shaker Sage Breeze - Wall Cabinet - 39""W x 30""H x 12""D - 2D -2S",566,SB-DS-W3930,Door Set SB-W3930,37.59580516,295,UBX-W3930,Cabinet Box for W3930,34.38249257,271
SB-WBC2430,"Shaker Sage Breeze - Wall Blind Corner Cabinet - 24""W x 30""H x 12""D - 1D -2S",336,SB-DS-WBC2430,Door Set SB-WBC2430,25.09589566,152,UBX-W2430/WBC2430,Cabinet Box for W2430/WBC2430,23.97126657,184
SB-WBC2442,"Shaker Sage Breeze - Wall Blind Corner Cabinet - 24""W x 42""H x 12""D - 1D -3S",456,SB-DS-WBC2442,Door Set SB-WBC2442,34.38889181,209,UBX-W2442/WBC2442,Cabinet Box for W2442/WBC2442,31.60021396,247
SB-WBC2730,"Shaker Sage Breeze - Wall Blind Corner Cabinet - 27""W x 30""H x 12""D - 1D -2S",364,SB-DS-WBC2730,Door Set SB-WBC2730,25.60699046,162,UBX-W2730/WBC2730,Cabinet Box for W2730/WBC2730,26.04804656,202
SB-WBC2736,"Shaker Sage Breeze - Wall Blind Corner Cabinet - 27""W x 36""H x 12""D - 1D -2S",413,SB-DS-WBC2736,Door Set SB-WBC2736,29.81637723,184,UBX-W2736/WBC2736,Cabinet Box for W2736/WBC2736,28.65267828,229
SB-WBC2742,"Shaker Sage Breeze - Wall Blind Corner Cabinet - 27""W x 42""H x 12""D - 1D -3S",483,SB-DS-WBC2742,Door Set SB-WBC2742,34.97745211,226,UBX-W2742/WBC2742,Cabinet Box for W2742/WBC2742,34.34922746,257
SB-WBC3630,"Shaker Sage Breeze - Wall Blind Corner Cabinet - 36""W x 30""H x 12""D - 1D -2S",463,SB-DS-WBC3630,Door Set SB-WBC3630,27.14027485,203,UBX-W3630/WBC3630,Cabinet Box for W3630/WBC3630,32.27838653,260
SB-WBC3642,"Shaker Sage Breeze - Wall Blind Corner Cabinet - 36""W x 42""H x 12""D - 1D -3S",619,SB-DS-WBC3642,Door Set SB-WBC3642,35.81913823,278,UBX-W3642/WBC3642,Cabinet Box for W3642/WBC3642,42.59626798,341
SB-WD1848,"Shaker Sage Breeze - Wall With Drawer Cabinet-18""W x 48""H x 12""D- 1D, 2 DRW -2S",552,SB-DS-WD1848,Door Set SB-WD1848,31.8597614,175,UBX-WD1848,Cabinet Box for WD1848,68.35450421,377
SB-WD1854,"Shaker Sage Breeze - Wall With Drawer Cabinet-18""W x 54""H x 12""D- 1D, 2 DRW -2S",605,SB-DS-WD1854,Door Set SB-WD1854,34.75611118,199,UBX-WD1854,Cabinet Box for WD1854,70.50076801,406
SB-WD1860,"Shaker Sage Breeze - Wall With Drawer Cabinet-18""W x 60""H x 12""D- 1D, 2 DRW -3S",652,SB-DS-WD1860,Door Set SB-WD1860,37.63353058,222,UBX-WD1860,Cabinet Box for WD1860,72.63300394,430
SB-WER2430,"Shaker Sage Breeze - Wall Easy Reach Corner Cabinet - 24"" W X 30"" H X 12"" D - 2D - 2S",503,SB-DS-WER2430,Door Set SB-WER2430,25.03372405,161,UBX-WER2430,Cabinet Box for WER2430,52.75505789,342
SB-WER2436,"Shaker Sage Breeze - Wall Easy Reach Corner Cabinet - 24"" W X 36"" H X 12"" D - 2D - 2S",604,SB-DS-WER2436,Door Set SB-WER2436,28.25044499,196,UBX-WER2436,Cabinet Box for WER2436,58.76812591,408
SB-WER2442,"Shaker Sage Breeze - Wall Easy Reach Corner Cabinet - 24"" W X 42"" H X 12"" D - 2D - 2S",708,SB-DS-WER2442,Door Set SB-WER2442,31.48832856,231,UBX-WER2442,Cabinet Box for WER2442,64.8207536,477
SB-O308424,"Shaker Sage Breeze - Oven Cabinet - 30""W x 84""H X 24""D - 2D, 3DRW, 1S",1619,SB-DS-O308424,Door Set SB-O308424,81.298723,589,UBX-O308424,Cabinet Box for O308424,141.9177295,1030
SB-O309024,"Shaker Sage Breeze - Oven Cabinet - 30""W x 90""H X 24""D - 2D, 3DRW, 1S",1694,SB-DS-O309024,Door Set SB-O309024,80.15084799,554,UBX-O309024,Cabinet Box for O309024,164.7778978,1140
SB-O309624,"Shaker Sage Breeze - Oven Cabinet - 30""W x 96""H X 24""D - 2D, 3DRW, 1S",1827,SB-DS-O309624,Door Set SB-O309624,84.89282502,611,UBX-O309624,Cabinet Box for O309624,168.621791,1216
SB-O338424,"Shaker Sage Breeze - Oven Cabinet - 33""W x 84""H X 24""D - 2D, 3DRW, 1S",1699,SB-DS-O338424,Door Set SB-O338424,81.13022847,565,UBX-O338424,Cabinet Box for O338424,162.4955446,1134
SB-O339024,"Shaker Sage Breeze - Oven Cabinet - 33""W x 90""H X 24""D - 2D, 3DRW, 1S",1778,SB-DS-O339024,Door Set SB-O339024,86.67953319,592,UBX-O339024,Cabinet Box for O339024,173.2210278,1186
SB-O339624,"Shaker Sage Breeze - Oven Cabinet - 33""W x 96""H X 24""D - 2D, 3DRW, 1S",1938,SB-DS-O339624,Door Set SB-O339624,91.74851312,661,UBX-O339624,Cabinet Box for O339624,177.2009561,1277
SB-U188424,"Shaker Sage Breeze - Wall Pantry - 18""W x 84""H x 24""D - 2D, 5S",1101,SB-DS-U188424,Door Set SB-U188424,49.62545311,423,UBX-U188424,Cabinet Box for U188424,79.47439762,678
SB-U189024,"Shaker Sage Breeze - Wall Pantry - 18""W x 90""H x 24""D - 2D, 5S",1136,SB-DS-U189024,Door Set SB-U189024,52.61354248,441,UBX-U189024,Cabinet Box for U189024,82.81205831,695
SB-U189624,"Shaker Sage Breeze - Wall Pantry - 18""W x 96""H x 24""D - 2D, 5S",1187,SB-DS-U189624,Door Set SB-U189624,56.56116489,470,UBX-U189624,Cabinet Box for U189624,86.20235492,717
SB-U248424,"Shaker Sage Breeze - Wall Pantry - 24""W x 84""H x 24""D - 4D, 5S",1321,SB-DS-U248424,Door Set SB-U248424,71.3340264,575,UBX-U248424,Cabinet Box for U248424,92.2906212,746
SB-U249024,"Shaker Sage Breeze - Wall Pantry - 24""W x 90""H x 24""D - 4D, 5S",1370,SB-DS-U249024,Door Set SB-U249024,75.52277394,604,UBX-U249024,Cabinet Box for U249024,95.76166813,766
SB-U249624,"Shaker Sage Breeze - Wall Pantry - 24""W x 96""H x 24""D - 4D, 5S",1438,SB-DS-U249624,Door Set SB-U249624,81.63058758,648,UBX-U249624,Cabinet Box for U249624,99.33798688,790
SB-U308424,"Shaker Sage Breeze - Wall Pantry - 30""W x 84""H x 24""D - 4D, 5S",1635,SB-DS-U308424,Door Set SB-U308424,81.298723,704,UBX-U308424,Cabinet Box for U308424,107.497745,931
SB-U309024,"Shaker Sage Breeze - Wall Pantry - 30""W x 90""H x 24""D - 4D, 5S",1711,SB-DS-U309024,Door Set SB-U309024,86.0827007,746,UBX-U309024,Cabinet Box for U309024,111.2996376,965
SB-U309624,"Shaker Sage Breeze - Wall Pantry - 30""W x 96""H x 24""D - 4D, 5S",1805,SB-DS-U309624,Door Set SB-U309624,92.78574448,805,UBX-U309624,Cabinet Box for U309624,115.206802,1000
SB-3VDB12,"Shaker Sage Breeze - Vanity Drawer Base Cabinet - 12""W x 34 1/2""H x 21""D - 3 DRW",550,SB-DS-3DB12/3VDB12,Door Set SB-3DB12/3VDB12,15.40364951,101,UBX-3VDB12,Cabinet Box for 3VDB12,68.14970086,449
SB-3VDB15,"Shaker Sage Breeze - Vanity Drawer Base Cabinet - 15""W x 34 1/2""H x 21""D - 3 DRW",599,SB-DS-3DB15/3VDB15,Door Set SB-3DB15/3VDB15,18.21461224,120,UBX-3VDB15,Cabinet Box for 3VDB15,72.25302026,479
SB-3VDB18,"Shaker Sage Breeze - Vanity Drawer Base Cabinet - 18""W x 34 1/2""H x 21""D - 3 DRW",648,SB-DS-3DB18/3VDB18,Door Set SB-3DB18/3VDB18,21.02557497,139,UBX-3VDB18,Cabinet Box for 3VDB18,76.35633966,509
SB-3VDB21,"Shaker Sage Breeze - Vanity Drawer Base Cabinet - 21""W x 34 1/2""H x 21""D - 3 DRW",687,SB-DS-3DB21/3VDB21,Door Set SB-3DB21/3VDB21,23.8365377,157,UBX-3VDB21,Cabinet Box for 3VDB21,80.45965906,530
SB-3VDB24,"Shaker Sage Breeze - Vanity Drawer Base Cabinet - 24""W x 34 1/2""H x 21""D - 3 DRW",765,SB-DS-3DB24/3VDB24,Door Set SB-3DB24/3VDB24,26.68448678,182,UBX-3VDB24,Cabinet Box for 3VDB24,85.08929109,583
SB-V3021DL,"Shaker Sage Breeze - Vanity Sink Base - 30""W x 34 1/2"" x 21""D - 1D, 3 Left DRW",795,SB-DS-V3021DL,Door Set SB-V3021DL,39.27574441,284,UBX-V3021DL,Cabinet Box for V3021DL,70.39811058,511
SB-V3021DR,"Shaker Sage Breeze - Vanity Sink Base - 30""W x 34 1/2"" x 21""D - 1D, 3 Right DRW",795,SB-DS-V3021DR,Door Set SB-V3021DR,39.27574441,284,UBX-V3021DR,Cabinet Box for V3021DR,70.39811058,511
SB-V3321DL,"Shaker Sage Breeze - Vanity Sink Base - 33""W x 34 1/2"" x 21""D - 1D, 3 Left DRW",825,SB-DS-V3321DL,Door Set SB-V3321DL,41.64270232,294,UBX-V3321DL,Cabinet Box for V3321DL,75.20882226,531
SB-V3321DR,"Shaker Sage Breeze - Vanity Sink Base - 33""W x 34 1/2"" x 21""D - 1D, 3 Right DRW",825,SB-DS-V3321DR,Door Set SB-V3321DR,41.64270232,294,UBX-V3321DR,Cabinet Box for V3321DR,75.20882226,531
SB-V3621DL,"Shaker Sage Breeze - Vanity Sink Base - 36""W x 34 1/2"" x 21""D - 1D, 3 Left DRW",848,SB-DS-V3621DL,Door Set SB-V3621DL,44.03201142,309,UBX-V3621DL,Cabinet Box for V3621DL,76.54206446,539
SB-V3621DR,"Shaker Sage Breeze - Vanity Sink Base - 36""W x 34 1/2"" x 21""D - 1D, 3 Right DRW",848,SB-DS-V3621DR,Door Set SB-V3621DR,44.03201142,309,UBX-V3621DR,Cabinet Box for V3621DR,76.54206446,539
SB-VS24,"Shaker Sage Breeze - Vanity Sink Base Cabinet - 24""W x 34 1/2""H x 21""D",423,SB-DS-VS24,Door Set SB-VS24,29.147219,230,UBX-VS24,Cabinet Box for VS24,24.3777196,193
SB-VS27,"Shaker Sage Breeze - Vanity Sink Base Cabinet - 27""W x 34 1/2""H x 21""D",456,SB-DS-SB27/VS27,Door Set SB-SB27/VS27,31.49504999,253,UBX-VS27,Cabinet Box for VS27,25.84446652,203
SB-VS30,"Shaker Sage Breeze - Vanity Sink Base Cabinet - 30""W x 34 1/2""H x 21""D",489,SB-DS-SB30/VS30,Door Set SB-SB30/VS30,34.47573043,282,UBX-VS30,Cabinet Box for VS30,27.46628438,207
SB-VS33,"Shaker Sage Breeze - Vanity Sink Base Cabinet - 33""W x 34 1/2""H x 21""D",528,SB-DS-SB33/VS33,Door Set SB-SB33/VS33,36.82356142,303,UBX-VS33,Cabinet Box for VS33,28.93303129,225
SB-VS36,"Shaker Sage Breeze - Vanity Sink Base Cabinet - 36""W x 34 1/2""H x 21""D",549,SB-DS-SB36/VS36,Door Set SB-SB36/VS36,39.17139241,331,UBX-VS36,Cabinet Box for VS36,30.3997782,218
SB-VSD36,"Shaker Sage Breeze - Vanity Sink Drawer Base Cabinet - 36""W x 34 1/2""H x 21""D - 2 DRW, 2D",752,SB-DS-VSD36,Door Set SB-VSD36,40.07917854,321,UBX-VSD36,Cabinet Box for VSD36,53.77020886,431
SB-VSD42,"Shaker Sage Breeze - Vanity Sink Drawer Base Cabinet - 42""W x 34 1/2""H x 21""D - 2 DRW, 2D",839,SB-DS-VSD42,Door Set SB-VSD42,46.58712077,377,UBX-VSD42,Cabinet Box for VSD42,56.84088858,462
SB-VSD48,"Shaker Sage Breeze - Vanity Sink Drawer Base Cabinet - 48""W x 34 1/2""H x 21""D - 2 DRW, 2D",916,SB-DS-VSD48,Door Set SB-VSD48,51.32103659,418,UBX-VSD48,Cabinet Box for VSD48,60.93601883,498
LG-2DB24,"Shaker Lunar Gray - 2-Drawer Base Cabinet - 24""W x 34-1/2""H x 24""D - 2Drw",698,LG-DS-2DB24,Door Set LG-2DB24,24.633,160,UBX-2DB24,Cabinet Box for 2DB24,82.467,538
LG-2DB30,"Shaker Lunar Gray - 2-Drawer Base Cabinet - 30""W x 34-1/2""H x 24""D - 2Drw",783,LG-DS-2DB30,Door Set LG-2DB30,29.628,191,UBX-2DB30,Cabinet Box for 2DB30,91.746,592
LG-2DB36,"Shaker Lunar Gray - 2-Drawer Base Cabinet - 36""W x 34-1/2""H x 24""D - 2Drw",851,LG-DS-2DB36,Door Set LG-2DB36,34.623,217,UBX-2DB36,Cabinet Box for 2DB36,101.016,634
LG-3DB12,"Shaker Lunar Gray - Drawer Base Cabinet - 12""W x 34-1/2""H x 24""D - 3DRW",563,LG-DS-3DB12/3VDB12,Door Set LG-3DB12/3VDB12,15.408,101,UBX-3DB12,Cabinet Box for 3DB12,74.565,462
LG-3DB15,"Shaker Lunar Gray - Drawer Base Cabinet - 15""W x 34-1/2""H x 24""D - 3DRW",634,LG-DS-3DB15/3VDB15,Door Set LG-3DB15/3VDB15,18.216,120,UBX-3DB15,Cabinet Box for 3DB15,78.894,514
LG-3DB18,"Shaker Lunar Gray - Drawer Base Cabinet - 18""W x 34-1/2""H x 24""D - 3DRW",674,LG-DS-3DB18/3VDB18,Door Set LG-3DB18/3VDB18,21.024,139,UBX-3DB18,Cabinet Box for 3DB18,83.232,535
LG-3DB21,"Shaker Lunar Gray - Drawer Base Cabinet - 21""W x 34-1/2""H x 24""D - 3DRW",694,LG-DS-3DB21/3VDB21,Door Set LG-3DB21/3VDB21,23.841,157,UBX-3DB21,Cabinet Box for 3DB21,87.561,537
LG-3DB24,"Shaker Lunar Gray - Drawer Base Cabinet - 24""W x 34-1/2""H x 24""D - 3DRW",733,LG-DS-3DB24/3VDB24,Door Set LG-3DB24/3VDB24,26.685,182,UBX-3DB24,Cabinet Box for 3DB24,91.953,551
LG-3DB27,"Shaker Lunar Gray - Drawer Base Cabinet - 27""W x 34-1/2""H x 24""D - 3DRW",792,LG-DS-3DB27,Door Set LG-3DB27,29.493,185,UBX-3DB27,Cabinet Box for 3DB27,96.759,607
LG-3DB30,"Shaker Lunar Gray - Drawer Base Cabinet - 30""W x 34-1/2""H x 24""D - 3DRW",850,LG-DS-3DB30,Door Set LG-3DB30,32.31,205,UBX-3DB30,Cabinet Box for 3DB30,101.556,645
LG-3DB33,"Shaker Lunar Gray - Drawer Base Cabinet - 33""W x 34-1/2""H x 24""D - 3DRW",881,LG-DS-3DB33,Door Set LG-3DB33,35.118,218,UBX-3DB33,Cabinet Box for 3DB33,106.362,663
LG-3DB36,"Shaker Lunar Gray - Drawer Base Cabinet - 36""W x 34-1/2""H x 24""D - 3DRW",934,LG-DS-3DB36,Door Set LG-3DB36,37.926,237,UBX-3DB36,Cabinet Box for 3DB36,111.159,697
LG-B12,"Shaker Lunar Gray - Base Cabinet - 12""W x 34-1/2""H x 24""D - 1D, 1Drw, 1S",376,LG-DS-B12,Door Set LG-B12,16.173,112,UBX-B12,Cabinet Box for B12,37.701,264
LG-B15,"Shaker Lunar Gray - Base Cabinet - 15""W x 34-1/2""H x 24""D - 1D, 1Drw, 1S",426,LG-DS-B15,Door Set LG-B15,18.522,134,UBX-B15,Cabinet Box for B15,40.149,292
LG-B18,"Shaker Lunar Gray - Base Cabinet - 18""W x 34-1/2""H x 24""D - 1D, 1Drw, 1S",458,LG-DS-B18,Door Set LG-B18,20.871,150,UBX-B18,Cabinet Box for B18,42.606,308
LG-B21,"Shaker Lunar Gray - Base Cabinet - 21""W x 34-1/2""H x 24""D - 1D, 1Drw, 1S",506,LG-DS-B21,Door Set LG-B21,23.22,172,UBX-B21,Cabinet Box for B21,45.063,334
LG-B24,"Shaker Lunar Gray - Base Cabinet - 24""W x 34-1/2""H x 24""D - 2D, 1Drw, 1S",551,LG-DS-B24,Door Set LG-B24,29.151,209,UBX-B24,Cabinet Box for B24,47.394,342
LG-B27,"Shaker Lunar Gray - Base Cabinet - 27""W x 34-1/2""H x 24""D - 2D, 1Drw, 1S",613,LG-DS-B27,Door Set LG-B27,31.491,236,UBX-B27,Cabinet Box for B27,50.247,377
LG-B30,"Shaker Lunar Gray - Base Cabinet - 30""W x 34-1/2""H x 24""D - 2D, 2Drw, 1S",717,LG-DS-B30,Door Set LG-B30,34.479,248,UBX-B30,Cabinet Box for B30,64.989,469
LG-B33,"Shaker Lunar Gray - Base Cabinet - 33""W x 34-1/2""H x 24""D - 2D, 2Drw, 1S",753,LG-DS-B33,Door Set LG-B33,36.828,264,UBX-B33,Cabinet Box for B33,67.86,489
LG-B36,"Shaker Lunar Gray - Base Cabinet - 36""W x 34-1/2""H x 24""D - 2D, 2Drw, 1S",805,LG-DS-B36,Door Set LG-B36,39.168,286,UBX-B36,Cabinet Box for B36,70.74,519
LG-B42,"Shaker Lunar Gray - Base Cabinet - 42""W x 34-1/2""H x 24""D - 2D, 2Drw, 1S",860,LG-DS-B42,Door Set LG-B42,45.558,321,UBX-B42,Cabinet Box for B42,76.374,539
LG-BBC36,"Shaker Lunar Gray - Blind Base Corner Cabinet - 33""W x 34-1/2""H x 24""D -1D, 1Drw, 1S *Install range 37"" min., 40"" max; Specify Left-hinge or Right Hinge assembly",506,LG-DS-BBC36,Door Set LG-BBC36,29.961,192,UBX-BBC36,Cabinet Box for BBC36,48.771,314
LG-BBC39,"Shaker Lunar Gray - Blind Base Corner Cabinet - 36""W x 34-1/2""H x 24""D -1D, 1Drw, 1S *Install range 40"" min., 43"" max; Specify Left-hinge or Right Hinge assembly",615,LG-DS-BBC39,Door Set LG-BBC39,31.446,237,UBX-BBC39,Cabinet Box for BBC39,49.968,378
LG-BBC42,"Shaker Lunar Gray - Blind Base Corner Cabinet - 39""W x 34-1/2""H x 24""D -1D, 1Drw, 1S *Install range 43"" min., 46"" max; Specify Left-hinge or Right Hinge assembly",697,LG-DS-BBC42,Door Set LG-BBC42,32.967,273,UBX-BBC42,Cabinet Box for BBC42,50.976,424
LG-BEC24,"Shaker Lunar Gray - Angle Base Cabinet - 24""W x 34-1/2""H x 24""D - 2D",478,LG-DS-BEC24,Door Set LG-BEC24,38.421,250,UBX-BEC24,Cabinet Box for BEC24,34.974,228
LG-BFH12,"Shaker Lunar Gray - Base Cabinet - Full Height Door-12""W x 34-1/2""H x 24""D - 1D, 1S",292,LG-DS-BFH12/W1230,Door Set LG-BFH12/W1230,15.327,112,UBX-BFH12,Cabinet Box for BFH12,24.183,180
LG-BFH15,"Shaker Lunar Gray - Base Cabinet - Full Height Door-15""W x 34-1/2""H x 24""D - 1D, 1S",324,LG-DS-BFH15/W1530,Door Set LG-BFH15/W1530,17.325,130,UBX-BFH15,Cabinet Box for BFH15,26.001,194
LG-BFH18,"Shaker Lunar Gray - Base Cabinet - Full Height Door-18""W x 34-1/2""H x 24""D - 1D, 1S",356,LG-DS-BFH18/W1830,Door Set LG-BFH18/W1830,19.332,150,UBX-BFH18,Cabinet Box for BFH18,27.819,206
LG-BFH21,"Shaker Lunar Gray - Base Cabinet - Full Height Door-21""W x 34-1/2""H x 24""D - 1D, 1S",388,LG-DS-BFH21/W2130,Door Set LG-BFH21/W2130,21.339,166,UBX-BFH21,Cabinet Box for BFH21,29.637,222
LG-BFH24,"Shaker Lunar Gray - Base Cabinet - Full Height Door-24""W x 34-1/2""H x 24""D - 2D, 1S",442,LG-DS-BFH24/W2430,Door Set LG-BFH24/W2430,27.549,210,UBX-BFH24,Cabinet Box for BFH24,31.392,232
